,ich,ipflg,isflg,pat,sat,pmod,smod,p_amp,s_amp
0,1,1,1,0.6020,1.0140,0.8043,1.2165,1.2600,0.8800
1,2,1,1,0.6000,1.0110,0.8028,1.2137,1.4300,1.2100
2,3,1,1,0.6010,1.0080,0.8013,1.2110,0.8300,0.7300
3,4,1,1,0.5980,1.0050,0.7999,1.2082,0.3800,0.9800
4,5,1,1,0.5950,1.0030,0.7984,1.2055,1.4100,1.0100
5,6,1,1,0.5960,1.0000,0.7969,1.2027,1.1300,0.9500
6,7,1,1,0.5910,0.9970,0.7954,1.1998,1.2200,0.5300
7,8,1,1,0.5900,0.9940,0.7938,1.1969,1.1400,0.9100
8,9,1,1,0.5910,0.9910,0.7922,1.1938,0.9900,0.7900
9,10,1,1,0.5890,0.9880,0.7906,1.1909,1.0000,0.7400
10,11,1,1,0.5890,0.9850,0.7891,1.1879,1.1900,0.5500
11,12,1,1,0.5880,0.9820,0.7875,1.1850,0.5500,1.3500
12,13,1,1,0.5830,0.9790,0.7859,1.1820,0.5900,0.4600
13,14,1,1,0.5820,0.9760,0.7843,1.1791,1.4700,0.8800
14,15,1,1,0.5840,0.9730,0.7827,1.1763,0.9900,1.0900
15,16,1,1,0.5780,0.9710,0.7811,1.1738,0.8100,0.8800
16,17,1,1,0.5750,0.9680,0.7796,1.1713,1.0200,1.1200
17,18,1,1,0.5750,0.9660,0.7780,1.1688,1.3700,1.6000
18,19,1,1,0.5740,0.9630,0.7765,1.1664,0.8900,1.5400
19,20,1,1,0.5710,0.9610,0.7750,1.1639,1.3000,1.7800
20,21,1,1,0.5750,0.9580,0.7732,1.1608,0.3000,0.4000
21,22,1,1,0.5650,0.9540,0.7712,1.1574,1.1600,1.1400
22,23,1,1,0.5660,0.9510,0.7694,1.1541,1.1800,1.0200
23,24,1,1,0.5650,0.9480,0.7676,1.1509,0.2300,0.6100
24,25,1,1,0.5660,0.9450,0.7657,1.1475,0.5800,0.9900
25,26,1,1,0.5640,0.9410,0.7636,1.1438,1.5900,0.9300
26,27,1,1,0.5590,0.9370,0.7614,1.1395,0.9100,1.3700
27,28,1,1,0.5540,0.9320,0.7592,1.1353,0.7100,1.2900
28,29,1,1,0.5530,0.9280,0.7571,1.1313,1.1100,0.4700
29,30,1,1,0.5540,0.9240,0.7549,1.1271,1.0900,0.4900
30,31,1,1,0.5460,0.9200,0.7527,1.1230,0.8800,0.5800
31,32,1,1,0.5490,0.9170,0.7510,1.1198,1.1600,0.9700
32,33,1,1,0.5440,0.9140,0.7493,1.1167,1.0300,0.5700
33,34,1,1,0.5440,0.9100,0.7476,1.1134,1.3400,0.5100
34,35,1,1,0.5470,0.9090,0.7467,1.1118,1.3500,0.4600
35,36,1,1,0.5430,0.9070,0.7456,1.1099,1.2600,1.2000
36,37,1,1,0.5450,0.9050,0.7446,1.1080,1.7600,1.1500
37,38,1,1,0.5410,0.9040,0.7440,1.1068,1.7000,1.0200
38,39,1,1,0.5410,0.9030,0.7433,1.1055,0.9300,1.5000
39,40,1,1,0.5380,0.9010,0.7427,1.1041,0.5500,1.6600
40,41,1,1,0.5440,0.9000,0.7421,1.1028,0.3200,0.5100
41,42,1,1,0.5390,0.8980,0.7413,1.1012,0.9200,0.4000
42,43,1,1,0.5360,0.8970,0.7407,1.1000,1.1800,0.6500
43,44,1,1,0.5340,0.8960,0.7401,1.0989,1.0400,0.8900
44,45,1,1,0.5320,0.8950,0.7394,1.0977,0.8100,1.3300
45,46,1,1,0.5360,0.8940,0.7387,1.0965,0.6300,1.0200
46,47,1,1,0.5510,0.8940,0.7497,1.0969,0.9400,1.2600
47,48,1,1,0.5470,0.8930,0.7489,1.0956,0.9000,0.4300
48,49,1,1,0.5440,0.8910,0.7480,1.0941,0.6100,0.7500
49,50,1,1,0.5430,0.8900,0.7472,1.0926,0.7600,1.1900
50,51,1,1,0.5410,0.9180,0.7465,1.1212,1.9600,0.6400
51,52,1,1,0.5440,0.9170,0.7450,1.1195,1.3700,1.1000
52,53,1,1,0.5430,0.9150,0.7435,1.1176,1.0400,2.4000
53,54,1,1,0.5420,0.9320,0.7420,1.1346,1.5700,0.6000
54,55,1,1,0.5350,0.9300,0.7403,1.1325,1.7600,0.6100
55,56,1,1,0.5350,0.9270,0.7385,1.1302,1.4500,1.3600
